2021-01-03,25882
2020-12-11,15859
2020-11-10,3152
2020-11-07,108072
2020-11-06,80075
2021-01-22,842
2021-01-19,160
2021-01-07,29400
2021-01-06,43222
2021-01-05,140740
2021-01-04,66305
2021-01-02,25240
2020-12-31,44891
2020-12-30,61943
2020-12-29,9657
2020-12-28,2889
2020-12-27,5998
2020-12-22,21319
2020-12-18,4791
2020-12-17,16976
2020-12-15,2632
2020-12-14,1170
2020-12-13,3140
2020-12-12,8147
2020-12-10,50573
2020-12-09,85230
2020-12-08,17365
2020-12-07,11365
2020-12-06,9989
2020-12-05,5963
2020-12-04,18850
2020-12-03,44921
2020-11-20,22720
2020-11-19,23367
2020-11-18,26831
2020-11-17,6187
2020-11-13,45093
2020-11-12,36262
2020-11-09,33625
2020-12-16,21554
2020-11-05,93081
2021-01-09,23
2020-11-23,1540
2020-11-11,2096
2021-01-14,18737
2021-01-13,20676
2020-12-21,18780
2020-12-19,4074
2020-11-30,26288
2020-11-14,39223
2020-11-04,6442
2021-01-16,1177
2021-01-10,1279
2020-12-24,13337
2020-12-23,205
2020-11-22,15103
2020-11-24,536
2020-11-21,58
2020-11-16,17924
2020-11-08,49560
2021-01-08,6423
2020-12-01,12694
2020-11-15,4032
2021-01-11,6657
2021-01-01,16114
2020-11-29,1552
2020-11-25,14086
2020-12-26,13
2020-11-27,1542
2021-01-12,2120
2020-12-02,3553
2021-01-24,12774
2021-01-18,574
2021-01-17,1145
2020-12-20,12072
2020-11-28,51
2021-01-15,213
2020-11-26,1375
2021-01-20,321
